City,Country,Latitude,Longitude
Amsterdam,Netherlands,52,4
Athens,Greece,37,23
Barcelona,Spain,41,2
Belgrade,Serbia,44,20
Berlin,Germany,52,13
Bratislava,Slovakia,48,17
Brussels,Belgium,50,4
Bucharest,Romania,44,26
Budapest,Hungary,47,19
Copenhagen,Denmark,55,12
Dublin,Ireland,53,-6
Edinburgh,United Kingdom,55,-3
Florence,Italy,43,11
Frankfurt,Germany,50,8
Geneva,Switzerland,46,6
Glasgow,United Kingdom,55,-4
Helsinki,Finland,60,24
Istanbul,Turkey,41,28
Kiev,Ukraine,50,30
Lisbon,Portugal,38,-9
Ljubljana,Slovenia,46,14
London,United Kingdom,51,-0
Luxembourg,Luxembourg,49,6
Madrid,Spain,40,-3
Milan,Italy,45,9
Munich,Germany,48,11
Naples,Italy,40,14
Oslo,Norway,59,10
Paris,France,48,2
Prague,Czech Republic,50,14
Reykjavik,Iceland,64,-21
Riga,Latvia,56,24
Rome,Italy,41,12
Sarajevo,Bosnia and Herzegovina,43,18
Sofia,Bulgaria,42,23
Stockholm,Sweden,59,18
Tallinn,Estonia,59,24
Tirana,Albania,41,19
Valletta,Malta,35,14
Vienna,Austria,48,16
Vilnius,Lithuania,54,25
Warsaw,Poland,52,21
Zagreb,Croatia,45,16
Zurich,Switzerland,47,8
Brno,Czech Republic,49,16
Gothenburg,Sweden,57,12
Seville,Spain,37,-6
Toulouse,France,43,1
